No,Provinsi,Nama PTN,Jenjang,Jurusan,Jumlah Peminat ,Daya Tampung (Tahun 2025),Rasio Keketatan,Rata-Rata Rasio,Sepi Peminatan,Rata-Rata Gaji Lulusan,Kualitas Prospek Kerja,Prospek Kerja
1,Aceh,Universitas Syiah Kuala,D3,Budidaya Peternakan,5,60,12,6.65625,FALSE,"Rp9,650,000",BAGUS,Wirausaha
2,Aceh,Universitas Syiah Kuala,D3,Teknik Listrik,9,40,4.44444,6.65625,TRUE,"Rp9,750,000",BAGUS,Teknisi Peternakan
3,Aceh,Universitas Syiah Kuala,D4,Kesehatan Hewan,10,30,3,6.65625,TRUE,"Rp5,000,000",KURANG BAGUS,Teknisi Sistem Energi
4,Aceh,Universitas Syiah Kuala,S1,Kehutanan,30,120,4,6.65625,TRUE,"Rp14,000,000",BAGUS,Kontraktor Proyek Besar
5,Aceh,Universitas Syiah Kuala,D3,Teknik Sipil,15,80,5.33333,6.65625,TRUE,"Rp6,000,000",BAGUS,Paramedik Veteriner
6,Aceh,Universitas Syiah Kuala,D3,Teknik Mesin,16,40,2.5,6.65625,TRUE,"Rp6,850,000",BAGUS,Teknisi Klinik Hewan
7,Aceh,Universitas Syiah Kuala,D3,Manajemen Informatika,33,80,2.42424,6.65625,TRUE,"Rp5,300,000",KURANG BAGUS,Project Officer
8,Aceh,Universitas Syiah Kuala,S1,Teknik Geofisika,83,80,0.96386,6.65625,TRUE,"Rp7,500,000",BAGUS,Spesialis GIS
9,Aceh,Universitas Syiah Kuala,S1,Fisika,52,80,1.53846,6.65625,TRUE,"Rp5,500,000",BAGUS,Pemantau Lingkungan
10,Aceh,Universitas Syiah Kuala,S1,Proteksi Tanaman,79,80,1.01266,6.65625,TRUE,"Rp9,000,000",BAGUS,Pengawas Proyek Konstruksi
11,Aceh,Universitas Syiah Kuala,S1,Pemanfaatan Sumber Daya Perikanan,122,120,0.98361,6.65625,TRUE,"Rp6,000,000",BAGUS,Drafter
12,Aceh,Universitas Malikussaleh,S1,Akuakultur,34,100,2.94118,6.65625,TRUE,"Rp9,000,000",BAGUS,Estimator
13,Aceh,Universitas Malikussaleh,S1,Ilmu Kelautan,80,100,1.25,6.65625,TRUE,"Rp10,500,000",BAGUS,Engineer
14,Aceh,Universitas Malikussaleh,S1,Pendidikan Fisika,76,120,1.57895,6.65625,TRUE,"Rp4,000,000",KURANG BAGUS,Teknisi Pabrik Besar
15,Aceh,Universitas Malikussaleh,S1,Pendidikan Kimia,76,120,1.57895,6.65625,TRUE,"Rp4,000,000",KURANG BAGUS,Web Developer
16,Aceh,Universitas Malikussaleh,S1,Teknik Arsitektur,148,150,1.01351,6.65625,TRUE,"Rp6,500,000",BAGUS,Software Engineer
17,Aceh,Universitas Malikussaleh,S1,Pendidikan Vokasional Teknik Mesin,36,60,1.66667,6.65625,TRUE,"Rp5,000,000",KURANG BAGUS,Geophysicist
18,Aceh,Universitas Teuku Umar,S1,Agroteknologi,72,90,1.25,6.65625,TRUE,"Rp5,000,000",KURANG BAGUS,Seismologist
19,Aceh,Universitas Teuku Umar,S1,Akuakultur,28,36,1.28571,6.65625,TRUE,"Rp5,500,000",BAGUS,Ahli Eksplorasi Bawah Tanah
20,Aceh,Universitas Teuku Umar,S1,Ilmu Kelautan,39,36,0.92308,6.65625,TRUE,"Rp10,500,000",BAGUS,Spesialis Mitigasi Bencana
